year,month,marketplace_name,order_status,total_orders,total_customers,total_items,total_revenue,avg_order_value
2024,3,shopee,cancelled,1,1,1,0.00,0.00000000000000000000
2024,3,shopee,completed,18,18,19,1665292.00,92516.222222222222
2024,3,tiktok,cancelled,5,5,5,428050.00,85610.000000000000
2024,3,tiktok,completed,35,35,36,3330608.00,95160.228571428571
2024,4,shopee,cancelled,21,19,21,0.00,0.00000000000000000000
2024,4,shopee,completed,222,219,230,21399487.00,96394.085585585586
2024,4,tiktok,cancelled,12,12,13,1547870.00,128989.166666666667
2024,4,tiktok,completed,91,89,94,10179566.00,111863.362637362637
2024,5,shopee,cancelled,86,72,93,0.00,0.00000000000000000000
2024,5,shopee,completed,460,453,478,44816867.00,97427.971739130435
2024,5,tiktok,cancelled,18,17,20,2769025.00,153834.722222222222
2024,5,tiktok,completed,176,174,187,22539784.00,128066.954545454545
2024,6,shopee,cancelled,174,155,182,0.00,0.00000000000000000000
2024,6,shopee,completed,1131,1119,1167,111405836.00,98502.065428824050
2024,6,tiktok,cancelled,55,51,61,8077982.00,146872.400000000000
2024,6,tiktok,completed,392,381,416,50656224.00,129225.061224489796
2024,7,shopee,cancelled,205,181,211,0.00,0.00000000000000000000
2024,7,shopee,completed,1234,1214,1281,116473059.00,94386.595623987034
2024,7,tiktok,cancelled,157,149,163,18012695.00,114730.541401273885
2024,7,tiktok,completed,1109,1078,1168,128404626.00,115784.153291253381
2024,8,shopee,cancelled,212,186,216,0.00,0.00000000000000000000
2024,8,shopee,completed,1032,1017,1090,101703761.00,98550.156007751938
2024,8,tiktok,cancelled,201,186,210,22588033.00,112378.273631840796
2024,8,tiktok,completed,1329,1295,1416,158842901.00,119520.617757712566
2024,9,shopee,cancelled,208,187,215,0.00,0.00000000000000000000
2024,9,shopee,completed,1105,1091,1167,107949238.00,97691.618099547511
2024,9,tiktok,cancelled,210,182,221,24163429.00,115063.947619047619
2024,9,tiktok,completed,1470,1441,1558,172381411.00,117266.265986394558
2024,10,shopee,cancelled,156,140,162,0.00,0.00000000000000000000
2024,10,shopee,completed,865,848,887,82129181.00,94947.030057803468
2024,10,tiktok,cancelled,209,196,216,22856895.00,109363.133971291866
2024,10,tiktok,completed,1669,1647,1718,178703894.00,107072.434991012582
2024,11,shopee,cancelled,171,149,185,648462.00,3792.1754385964912281
2024,11,shopee,completed,1021,1006,1059,100787505.00,98714.500489715965
2024,11,shopee,in_progress,7,7,7,794403.00,113486.142857142857
2024,11,tiktok,cancelled,166,145,171,18343985.00,110505.933734939759
2024,11,tiktok,completed,1146,1123,1217,144250587.00,125873.112565445026
2024,12,shopee,cancelled,196,171,212,1188596.00,6064.2653061224489796
2024,12,shopee,completed,1186,1167,1293,130395940.00,109945.986509274874
2024,12,shopee,in_progress,5,5,5,541382.00,108276.400000000000
2024,12,tiktok,cancelled,137,131,138,13835799.00,100991.233576642336
2024,12,tiktok,completed,1109,1085,1148,116485998.00,105036.968440036069
2024,12,tiktok,in_progress,4,4,5,852440.00,213110.000000000000
