year,month,marketplace_name,seller_name,total_orders,total_revenue,avg_order_value
2024,12,shopee,gendes.id,681,69748940.00,102421.350954478708
2024,8,tiktok,gendes.feminine,562,63895830.00,113693.647686832740
2024,10,tiktok,gendes.feminine,591,62802345.00,106264.543147208122
2024,9,tiktok,gendes.feminine,544,60179368.00,110623.838235294118
2024,6,shopee,gendes.id,640,56001028.00,87501.606250000000
2024,7,shopee,gendes.id,691,54182012.00,78411.015918958032
2024,9,tiktok,gendes.id,382,52361687.00,137072.479057591623
2024,10,tiktok,gendes.id,468,51987154.00,111083.662393162393
2024,11,tiktok,gendes.feminine,421,51048957.00,121256.429928741093
2024,8,shopee,gendes.id,585,48890232.00,83573.046153846154
2024,9,shopee,gendes.id,587,48400522.00,82454.040885860307
2024,10,tiktok,gendes.beauty,447,47967322.00,107309.445190156600
2024,11,shopee,gendes.id,568,47325517.00,83319.572183098592
2024,8,tiktok,gendes.id,354,47242279.00,133452.765536723164
2024,7,tiktok,gendes.id,390,45964254.00,117857.061538461538
2024,9,tiktok,gendes.beauty,389,42265606.00,108651.943444730077
2024,9,tiktok,gendes.bestie,365,41738179.00,114351.175342465753
2024,11,tiktok,gendes.bestie,311,41050991.00,131996.755627009646
2024,8,tiktok,gendes.beauty,336,40446189.00,120375.562500000000
2024,7,tiktok,gendes.feminine,344,40384607.00,117397.113372093023
2024,10,tiktok,gendes.bestie,372,38803968.00,104311.741935483871
2024,12,tiktok,gendes.feminine,354,37418552.00,105702.124293785311
2024,12,tiktok,gendes.id,356,37333125.00,104868.328651685393
2024,10,shopee,gendes.id,472,37065734.00,78529.097457627119
2024,11,tiktok,gendes.id,289,36852557.00,127517.498269896194
2024,7,tiktok,gendes.beauty,307,34815524.00,113405.615635179153
2024,11,tiktok,gendes.beauty,291,33642067.00,115608.477663230241
2024,12,shopee,gendes.feminine,366,33558455.00,91689.767759562842
2024,9,shopee,gendes.feminine,402,33508639.00,83354.823383084577
2024,7,shopee,gendes.feminine,378,31414693.00,83107.653439153439
2024,12,tiktok,gendes.beauty,288,30561092.00,106114.902777777778
2024,11,shopee,gendes.feminine,333,30146731.00,90530.723723723724
2024,8,tiktok,gendes.bestie,278,29846636.00,107362.000000000000
2024,6,shopee,gendes.feminine,344,29534168.00,85855.139534883721
2024,8,shopee,gendes.feminine,342,26498489.00,77480.961988304094
2024,10,shopee,gendes.feminine,329,25907734.00,78746.911854103343
2024,12,tiktok,gendes.bestie,252,25861468.00,102624.873015873016
2024,7,tiktok,gendes.bestie,225,25252936.00,112235.271111111111
2024,5,shopee,gendes.id,281,23062470.00,82072.846975088968
2024,6,tiktok,gendes.id,155,21057660.00,135855.870967741935
2024,7,shopee,gendes.beauty,230,19948222.00,86731.400000000000
2024,12,shopee,gendes.beauty,208,17665391.00,84929.764423076923
2024,9,shopee,gendes.beauty,218,17427397.00,79942.188073394495
2024,6,shopee,gendes.beauty,201,16507316.00,82125.950248756219
2024,8,shopee,gendes.beauty,195,16206973.00,83112.682051282051
2024,6,tiktok,gendes.feminine,125,15733127.00,125865.016000000000
2024,11,shopee,gendes.beauty,182,15536493.00,85365.346153846154
2024,6,tiktok,gendes.beauty,111,15069392.00,135760.288288288288
2024,4,shopee,gendes.id,134,12141651.00,90609.335820895522
2024,10,shopee,gendes.beauty,129,11240734.00,87137.472868217054
2024,12,shopee,gendes.bestie,132,11153132.00,84493.424242424242
2024,7,shopee,gendes.bestie,140,10928132.00,78058.085714285714
2024,5,tiktok,gendes.id,68,10542540.00,155037.352941176471
2024,5,shopee,gendes.feminine,129,10171804.00,78851.193798449612
2024,8,shopee,gendes.bestie,122,10108067.00,82853.008196721311
2024,6,shopee,gendes.bestie,120,9363324.00,78027.700000000000
2024,11,shopee,gendes.bestie,116,9221629.00,79496.801724137931
2024,9,shopee,gendes.bestie,106,8612680.00,81251.698113207547
2024,10,shopee,gendes.bestie,91,7914979.00,86977.791208791209
2024,6,tiktok,gendes.bestie,56,6874027.00,122750.482142857143
2024,5,tiktok,gendes.feminine,55,6444146.00,117166.290909090909
2024,5,shopee,gendes.beauty,79,6238952.00,78974.075949367089
2024,5,shopee,gendes.bestie,57,5343641.00,93748.087719298246
2024,5,tiktok,gendes.beauty,43,5055601.00,117572.116279069767
2024,4,shopee,gendes.feminine,46,3969974.00,86303.782608695652
2024,4,tiktok,gendes.feminine,36,3847079.00,106863.305555555556
2024,4,tiktok,gendes.id,26,3393120.00,130504.615384615385
2024,5,tiktok,gendes.bestie,28,3266522.00,116661.500000000000
2024,4,shopee,gendes.beauty,37,2971362.00,80307.081081081081
2024,4,tiktok,gendes.beauty,23,2519685.00,109551.521739130435
2024,4,shopee,gendes.bestie,26,2316500.00,89096.153846153846
2024,4,tiktok,gendes.bestie,18,1967552.00,109308.444444444444
2024,3,tiktok,gendes.id,14,1596885.00,114063.214285714286
2024,3,tiktok,gendes.feminine,11,918953.00,83541.181818181818
2024,3,tiktok,gendes.beauty,10,819110.00,81911.000000000000
2024,3,shopee,gendes.feminine,6,718212.00,119702.000000000000
2024,3,shopee,gendes.id,9,648720.00,72080.000000000000
2024,3,tiktok,gendes.bestie,5,423710.00,84742.000000000000
2024,3,shopee,gendes.bestie,3,236000.00,78666.666666666667
2024,3,shopee,gendes.beauty,1,62360.00,62360.000000000000
